investment_amount,opportunity_code,Category,investor_acc_number,investment_number,investment_interest_rate,daily_interest
100000.0,HVG203,Heron View,ZGEL01,1,0.14,38.35616438356165
200000.0,HVO301,Heron View,ZLAM01,1,0.14,76.7123287671233
1100000.0,HVH101,Heron View,ZHAN07,1,0.18,542.4657534246576
1100000.0,HVH102,Heron View,ZHAN07,2,0.18,542.4657534246576
1100000.0,HVH103,Heron View,ZHAN07,3,0.18,542.4657534246576
1100000.0,HVH104,Heron View,ZHAN07,4,0.18,542.4657534246576
1100000.0,HVH201,Heron View,ZHAN07,5,0.18,542.4657534246576
1100000.0,HVH202,Heron View,ZHAN07,6,0.18,542.4657534246576
1100000.0,HVH203,Heron View,ZHAN07,7,0.18,542.4657534246576
1100000.0,HVH204,Heron View,ZHAN07,8,0.18,542.4657534246576
150000.0,HVI102,Heron View,ZCAR01,1,0.14,57.53424657534248
200000.0,HVI102,Heron View,ZNEL01,1,0.14,76.7123287671233
100000.0,HVL102,Heron View,ZTUR01,1,0.14,38.35616438356165
100000.0,HVL103,Heron View,ZSIP01,1,0.14,38.35616438356165
100000.0,HVO301,Heron View,ZMAT04,1,0.14,38.35616438356165
600000.0,GW4144,Goodwood,ZMAC01,1,0.18,295.8904109589041
550000.0,GW4310,Goodwood,ZMAC01,2,0.18,271.2328767123288
550000.0,GW4345,Goodwood,ZMAC01,3,0.18,271.2328767123288
550000.0,GW4374,Goodwood,ZMAC01,4,0.18,271.2328767123288
550000.0,GW4636,Goodwood,ZMAC01,5,0.18,271.2328767123288
681304.79,HVF202,Heron View,ZELO02,1,0.16,298.654154520548
1200000.0,HVE203,Heron View,ZHOW01,1,0.18,591.7808219178082
1200000.0,HVE302,Heron View,ZHOW01,2,0.18,591.7808219178082
600000.0,HVE303,Heron View,ZHOW01,3,0.18,295.8904109589041
950000.0,EA107,Endulini,ZMOR02,1,0.1,260.2739726027397
950000.0,EB201,Endulini,ZMOR02,2,0.1,260.2739726027397
400000.0,GW3927,Goodwood,ZHAR03,1,0.18,197.26027397260273
600000.0,GW4249,Goodwood,ZHAR03,2,0.18,295.8904109589041
500000.0,GW4555,Goodwood,ZBHA01,1,0.16,219.17808219178082
600000.0,GW3570,Goodwood,ZSWA03,1,0.16,263.013698630137
300000.0,GW3756,Goodwood,ZSTO02,1,0.14,115.06849315068496
110000.0,GW4551,Goodwood,ZHIB01,1,0.14,42.19178082191781
550000.0,GW3795,Goodwood,ZKOT01,1,0.18,271.2328767123288
200000.0,GW3847,Goodwood,ZKOT01,2,0.18,98.63013698630137
550000.0,GW3976,Goodwood,ZKOT01,3,0.18,271.2328767123288
550000.0,GW4111,Goodwood,ZKOT01,4,0.18,271.2328767123288
550000.0,GW4241,Goodwood,ZKOT01,5,0.18,271.2328767123288
550000.0,GW4355,Goodwood,ZKOT01,6,0.18,271.2328767123288
550000.0,GW4783,Goodwood,ZKOT01,7,0.18,271.2328767123288
418733.56,HVD303,Heron View,ZGEC01,9,0.18,206.49874191780822
500000.0,HVJ103,Heron View,ZGEC01,10,0.18,246.57534246575344
767449.32,HVK206,Heron View,ZGEC01,11,0.18,378.46815780821913
566390.41,HVO105,Heron View,ZGEC01,12,0.18,279.31581863013696
